Unnamed: 0,Solvent 1,Solvent 2,q1,q2,r1,r2,x1,x2,T,ismisc
192,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.800217975,0.148697475,300,1
193,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.234448028,0.430267729,300,1
194,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.563392718,0.27903857,300,1
195,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.035577014,0.489238306,300,1
196,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.145642999,0.190872334,300,1
197,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.473805267,0.404430316,300,1
198,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.457219647,0.085612711,300,1
199,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.168381847,0.515600929,300,1
200,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.234892996,0.300821978,300,1
201,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.413303511,0.335880452,300,1
202,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.474794688,0.012177112,300,1
203,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.109215009,0.738580959,300,1
204,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.189400818,0.28453019,300,1
205,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.388699824,0.368163097,300,1
206,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.582272527,0.334715942,300,1
207,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.21016118,0.35820366,300,1
208,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.342483193,0.292263236,300,1
209,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.302527307,0.372918316,300,1
210,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.693177356,0.195211035,300,1
211,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.049285971,0.445128891,300,1
212,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.207576417,0.048897311,300,1
213,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.41228321,0.432178171,300,1
214,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.350497772,0.200590564,300,1
215,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.35634635,0.532315711,300,1
216,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.233313251,0.141436662,300,1
217,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.491208278,0.498646408,300,1
218,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.493987816,0.174089863,300,1
219,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.204147952,0.547490315,300,1
220,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.012750554,0.653721801,300,1
221,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.379532265,0.246872314,300,1
222,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.477793273,0.08898231,300,1
223,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.214111331,0.442792666,300,1
224,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.245923286,0.263825137,300,1
225,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.412198889,0.460192682,300,1
226,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.56118874,0.037974874,300,1
227,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.015169337,0.6995456,300,1
228,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.516081558,0.336334244,300,1
229,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.330227005,0.320195587,300,1
230,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.516202979,0.220150549,300,1
231,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.197467064,0.419371615,300,1
232,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.571033242,0.015475926,300,1
233,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.317306112,0.432486859,300,1
234,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.650088901,0.3080201,300,1
235,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.12145642,0.354875065,300,1
236,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.055348424,0.322647202,300,1
237,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.436542887,0.333782455,300,1
238,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.322492812,0.121004269,300,1
239,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.268627193,0.582952606,300,1
240,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.367640194,0.192016543,300,1
241,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.348606863,0.481097439,300,1
242,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.452309319,0.155445416,300,1
243,methanol,ethanol,1.432,2.588,1.4311,2.5755,0.111391042,0.862436107,300,1
